Frame nr:;1;2;3;4;5;6;7;8
LeftAnkleRot;0.00487307;0.00487307;0.00487307;0.00487307;0.00944219;0.00944219;0.0100758;0.0100758
LeftAnkle_1;-2.52047;-2.52047;-2.52047;-2.52047;-4.13298;-4.13298;-2.91972;-2.91972
LeftAnkle_2;-0.400341;-0.400341;-0.400341;-0.400341;-0.383527;-0.383527;-0.714924;-0.714924
LeftToes;-8.6164e-10;-8.6164e-10;-8.6164e-10;-8.6164e-10;-2.5426e-07;-2.5426e-07;5.90109e-07;5.90109e-07
RightHip_1;0.371032;0.371032;0.371032;0.371032;0.229281;0.229281;0.521126;0.521126
RightHip_2;0.546618;0.546618;0.546618;0.546618;0.585116;0.585116;0.596287;0.596287
RightHip_3;-8.6775e-05;-8.6775e-05;-8.6775e-05;-8.6775e-05;0.594173;0.594173;0.00663144;0.00663144
RightKnee;3.5663;3.5663;3.5663;3.5663;7.0783;7.0783;5.40338;5.40338
RightAnkleRot;-0.00491725;-0.00491725;-0.00491725;-0.00491725;-0.00435198;-0.00435198;-0.00254221;-0.00254221
RightAnkle_1;-2.52038;-2.52038;-2.52038;-2.52038;-4.36693;-4.36693;-2.91133;-2.91133
RightAnkle_2;0.400869;0.400869;0.400869;0.400869;-0.132097;-0.132097;0.324687;0.324687
RightToes;-6.59029e-11;-6.59029e-11;-6.59029e-11;-6.59029e-11;-1.42198e-07;-1.42198e-07;5.86917e-07;5.86917e-07
RightSC_1;0.0264373;0.0264373;0.0264373;0.0264373;0.00540834;0.00540834;-0.0452836;-0.0452836
RightSC_2;-0.142526;-0.142526;-0.142526;-0.142526;-0.105656;-0.105656;-0.769339;-0.769339
RightAC_1;1.33966;1.33966;1.33966;1.33966;0.628679;0.628679;0.33808;0.33808
RightAC_2;0.0179386;0.0179386;0.0179386;0.0179386;0.121501;0.121501;-0.010882;-0.010882
RightGH_1;58.0788;58.0788;58.0788;58.0788;57.3798;57.3798;55.2852;55.2852
RightGH_2;-1.78034;-1.78034;-1.78034;-1.78034;9.33147;9.33147;60.7343;60.7343
RightShoulderRotation;-0.926525;-0.926525;-0.926525;-0.926525;-4.58197;-4.58197;2.71771;2.71771
RightElbow;25.5699;25.5699;25.5699;25.5699;78.88;78.88;74.2007;74.2007
RightWristRotation;0.00815353;0.00815353;0.00815353;0.00815353;-5.36616;-5.36616;2.04713;2.04713
LeftSC_1;-0.0264056;-0.0264056;-0.0264056;-0.0264056;-0.0122107;-0.0122107;0.0237476;0.0237476
LeftSC_2;-0.142523;-0.142523;-0.142523;-0.142523;-0.105088;-0.105088;-0.775682;-0.775682
LeftAC_1;-1.33963;-1.33963;-1.33963;-1.33963;-0.631407;-0.631407;-0.355476;-0.355476
LeftAC_2;0.0179348;0.0179348;0.0179348;0.0179348;0.12718;0.12718;-0.012792;-0.012792
LeftGH_1;-58.0788;-58.0788;-58.0788;-58.0788;-57.4954;-57.4954;-55.2993;-55.2993
LeftGH_2;-1.78034;-1.78034;-1.78034;-1.78034;9.22272;9.22272;60.6955;60.6955
LeftShoulderRotation;0.926524;0.926524;0.926524;0.926524;4.59819;4.59819;-2.71454;-2.71454
LeftElbow;25.5699;25.5699;25.5699;25.5699;78.6249;78.6249;74.2191;74.2191
LeftWristRotation;-0.00815353;-0.00815353;-0.00815353;-0.00815353;5.02131;5.02131;-2.05373;-2.05373
LeftWrist_1;-0.273761;-0.273761;-0.273761;-0.273761;-6.87089;-6.87089;-14.8915;-14.8915
LeftWrist_2;-0.200882;-0.200882;-0.200882;-0.200882;0.00895275;0.00895275;0.0226253;0.0226253
Left_IndexCarpal_1;0;0;0;0;0;0;0;0
Left_IndexCarpal_2;0;0;0;0;0;0;0;0
Left_IndexCarpal_3;0;0;0;0;0;0;0;0
Left_IndexProximal_1;0;0;0;0;-1.19842;-1.19842;0;0
Left_IndexProximal_2;0;0;0;0;-0.402569;-0.402569;0;0
Left_IndexIntermediate;0;0;0;0;-0.335094;-0.335094;0;0
Left_IndexDistal;0;0;0;0;0;0;0;0
Left_MiddleCarpal_1;0;0;0;0;0;0;0;0
Left_MiddleCarpal_2;0;0;0;0;0;0;0;0
Left_MiddleCarpal_3;0;0;0;0;0;0;0;0
Left_MiddleProximal_1;0;0;0;0;-1.52745;-1.52745;0;0
Left_MiddleProximal_2;0;0;0;0;-0.527988;-0.527988;0;0
Left_MiddleIntermediate;0;0;0;0;-0.430496;-0.430496;0;0
Left_MiddleDistal;0;0;0;0;0;0;0;0
Left_RingCarpal_1;0;0;0;0;0;0;0;0
Left_RingCarpal_2;0;0;0;0;0;0;0;0
Left_RingCarpal_3;0;0;0;0;0;0;0;0
Left_RingProximal_1;0;0;0;0;-1.33817;-1.33817;0;0
Left_RingProximal_2;0;0;0;0;-0.452588;-0.452588;0;0
Left_RingIntermediate;0;0;0;0;-0.395027;-0.395027;0;0
Left_RingDistal;0;0;0;0;0;0;0;0
Left_PinkyCarpal_1;0;0;0;0;0;0;0;0
Left_PinkyCarpal_2;0;0;0;0;0;0;0;0
Left_PinkyCarpal_3;0;0;0;0;0;0;0;0
Left_PinkyProximal_1;0;0;0;0;-0.879301;-0.879301;0;0
Left_PinkyProximal_2;0;0;0;0;-0.342233;-0.342233;0;0
Left_PinkyIntermediate;0;0;0;0;-0.24974;-0.24974;0;0
Left_PinkyDistal;0;0;0;0;0;0;0;0
Left_ThumbProximal_1;0;0;0;0;-1.32289;-1.32289;0;0
Left_ThumbProximal_2;0;0;0;0;0.562168;0.562168;0;0
Left_ThumbIntermediate;0;0;0;0;0;0;0;0
Left_ThumbDistal;-0.000335833;-0.000335833;-0.000335833;-0.000335833;2.17061e-05;2.17061e-05;3.93809e-05;3.93809e-05
RightWrist_1;-0.27376;-0.27376;-0.27376;-0.27376;-7.05476;-7.05476;-14.9082;-14.9082
RightWrist_2;0.200882;0.200882;0.200882;0.200882;-0.0103501;-0.0103501;-0.0214632;-0.0214632
Right_IndexCarpal_1;0;0;0;0;0;0;0;0
Right_IndexCarpal_2;0;0;0;0;0;0;0;0
Right_IndexCarpal_3;0;0;0;0;0;0;0;0
Right_IndexProximal_1;0;0;0;0;-1.16386;-1.16386;0;0
Right_IndexProximal_2;0;0;0;0;0.271404;0.271404;0;0
Right_IndexIntermediate;0;0;0;0;-0.325422;-0.325422;0;0
Right_IndexDistal;0;0;0;0;0;0;0;0
Right_MiddleCarpal_1;0;0;0;0;0;0;0;0
Right_MiddleCarpal_2;0;0;0;0;0;0;0;0
Right_MiddleCarpal_3;0;0;0;0;0;0;0;0
Right_MiddleProximal_1;0;0;0;0;-1.48487;-1.48487;0;0
Right_MiddleProximal_2;0;0;0;0;0.359207;0.359207;0;0
Right_MiddleIntermediate;0;0;0;0;-0.418481;-0.418481;0;0
Right_MiddleDistal;0;0;0;0;0;0;0;0
Right_RingCarpal_1;0;0;0;0;0;0;0;0
Right_RingCarpal_2;0;0;0;0;0;0;0;0
Right_RingCarpal_3;0;0;0;0;0;0;0;0
Right_RingProximal_1;0;0;0;0;-1.30164;-1.30164;0;0
Right_RingProximal_2;0;0;0;0;0.304125;0.304125;0;0
Right_RingIntermediate;0;0;0;0;-0.384231;-0.384231;0;0
Right_RingDistal;0;0;0;0;0;0;0;0
Right_PinkyCarpal_1;0;0;0;0;0;0;0;0
Right_PinkyCarpal_2;0;0;0;0;0;0;0;0
Right_PinkyCarpal_3;0;0;0;0;0;0;0;0
Right_PinkyProximal_1;0;0;0;0;-0.856308;-0.856308;0;0
Right_PinkyProximal_2;0;0;0;0;0.240559;0.240559;0;0
Right_PinkyIntermediate;0;0;0;0;-0.243207;-0.243207;0;0
Right_PinkyDistal;0;0;0;0;0;0;0;0
Right_ThumbProximal_1;0;0;0;0;-1.27005;-1.27005;0;0
Right_ThumbProximal_2;0;0;0;0;-0.624444;-0.624444;0;0
Right_ThumbIntermediate;0;0;0;0;0;0;0;0
Right_ThumbDistal;0.000335832;0.000335832;0.000335832;0.000335832;-2.19144e-05;-2.19144e-05;-3.93369e-05;-3.93369e-05
